title,published,description,view_count,like_count,dislike_count,comment_count,owner
What is Git? Explained in 2 Minutes!,2020-09-21T13:00:03Z,"This short video explains what Git is and why it's a critical skill for every software & DevOps engineer. 
👍 Subscribe for more Git tutorials like this: https://goo.gl/6PYaGF
👉 Learn Git basics in one hour: https://youtu.be/8JJ101D3knE

#Git is the most popular open-source version control system in the world. Everyday, millions of people use Git to track their project history and collaborate effectively. It's a critical skill for a every software and DevOps engineer. 

⭐️ Want to learn more from me? Check out these links: 

Courses: https://codewithmosh.com
Twitter: https://twitter.com/moshhamedani
Facebook: https://www.facebook.com/programmingwithmosh/
Blog: https://programmingwithmosh.com",200683,12159,0,307,mosh
Python Machine Learning Tutorial (Data Science),2020-09-17T13:00:03Z,"Python Machine Learning Tutorial  - Learn how to predict the kind of music people like. 
👍 Subscribe for more Python tutorials like this: https://goo.gl/6PYaGF
👉 The CSV file used in this tutorial: https://bit.ly/3muqqta

🚀 Learn Python in one hour: https://youtu.be/kqtD5dpn9C8
🚀 Python (Full Course): https://www.youtube.com/watch?v=_uQrJ0TkZlc

Want to learn more from me? 

Courses: https://codewithmosh.com
Twitter: https://twitter.com/moshhamedani
Facebook: https://www.facebook.com/programmingwithmosh/
Blog: http://programmingwithmosh.com

#Python, #MachineLearning, #Jupyter

TABLE OF CONTENT 

0:00:00 Introduction
0:00:59 What is Machine Learning? 
0:02:58 Machine Learning in Action 
0:05:45 Libraries and Tools
0:10:40 Importing a Data Set
0:17:01 Jupyter Shortcuts
0:22:53 A Real Machine Learning Problem 
0:26:09 Preparing the Data
0:29:15 Learning and Predicting
0:33:20 Calculating the Accuracy
0:39:41 Persisting Models
0:42:55 Visualizing a Decision Tree",993813,27259,0,1056,mosh
Python for Beginners - Learn Python in 1 Hour,2020-09-16T13:00:20Z,"This Python tutorial for beginners show how to get started with Python quickly. Learn to code in 1 hour! Watch this tutorial get started! 
👍 Enjoyed this video? Please vote for me for Top Tech YouTuber: https://bit.ly/34CIUn3
👍 Subscribe for more Python tutorials like this: https://goo.gl/6PYaGF
🔥 Want to learn more? Watch my complete Python course: https://youtu.be/_uQrJ0TkZlc

📕 Get my FREE Python cheat sheet: http://bit.ly/2Gp80s6

Courses: https://codewithmosh.com
Twitter: https://twitter.com/moshhamedani
Facebook: https://www.facebook.com/programmingwithmosh/
Blog: http://programmingwithmosh.com

#Python, #MachineLearning, #WebDevelopment

📔 Python Exercises for Beginners: https://goo.gl/1XnQB1

⭐ My Favorite Python Books
- Python Crash Course: https://amzn.to/2GqMdjG
- Automate the Boring Stuff with Python: https://amzn.to/2N71d6S
- A Smarter Way to Learn Python: https://amzn.to/2UZa6lE
- Machine Learning for Absolute Beginners: https://amzn.to/2Gs0koL
- Hands-on Machine Learning with scikit-learn and TensorFlow: https://amzn.to/2IdUuJy

TABLE OF CONTENT

0:00:00 Introduction 
0:00:30 What You Can Do With Python 
0:01:15 Your First Python Program 
0:05:30 Variables
0:09:08 Receiving Input
0:10:48 Type Conversion
0:18:49 Strings
0:23:41 Arithmetic Operators 
0:25:59 Operator Precedence 
0:27:11 Comparison Operators 
0:28:52 Logical Operators
0:31:06 If Statements
0:36:16 Exercise
0:41:42 While Loops
0:45:11 Lists
0:48:47 List Methods
0:52:16 For Loops
0:54:54 The range() Function 
0:57:43 Tuples",3777935,102610,0,7706,mosh
Git Tutorial for Beginners: Learn Git in 1 Hour,2020-09-15T12:45:00Z,"Git tutorial for beginners - Learn Git for a career in DevOps/Software Engineering. This Git tutorial teaches you everything you need to learn Git basics.
🔥 Get the full Git course with a BIG discount (LIMITED TIME): https://bit.ly/3iuDV9V
👍 Subscribe for more Git tutorials like this: https://goo.gl/6PYaGF

📕 Get my FREE Git cheat sheet:
https://bit.ly/33rnYLt

⭐️ Want to learn more from me? Check out these links: 

Courses: https://codewithmosh.com
Twitter: https://twitter.com/moshhamedani
Facebook: https://www.facebook.com/programmingwithmosh/
Blog: https://programmingwithmosh.com 

TABLE OF CONTENTS 

0:00:00 Introduction
0:00:35 What is Git?
0:03:07 Using Git
0:06:11 Installing Git
0:07:38 Configuring Git
0:12:43 Getting Help
0:13:35 Cheat Sheet
0:14:05 Taking Snapshots 
0:14:38 Initializing a Repository 
0:17:10 Git Workflow
0:21:46 Staging Files
0:25:24 Committing Changes
0:27:37 Committing Best Practices
0:30:21 Skipping the Staging Area
0:31:46 Removing Files
0:33:48 Renaming or Moving Files
0:36:06 Ignoring Files
0:42:41 Short Status
0:45:33 Viewing the Staged and Unstaged Changes 
0:50:33 Visual Diff Tools
0:55:27 Viewing the History
0:57:39 Viewing a Commit
1:01:37 Unstaging Files
1:04:28 Discarding Local Changes
1:06:17 Restoring a File to an Earlier Version 

#Git #DevOps #Programming

Git is the most popular version control system in the world. Millions of software & DevOps engineers use Git to track changes in their project and collaborate effectively in a team. This tutorial teaches you Git basics in one hour.",842653,20171,0,830,mosh
Flutter vs React Native - Will Flutter Kill React Native?,2020-07-14T12:45:10Z,"Flutter vs React Native - What should you learn to get a mobile development job in 2020? This video explains it in 5 minutes. 
🚀 React Native tutorial for beginners: https://youtu.be/0-S5a0eXPoc
👍 Subscribe for more React Native tutorials like this: https://goo.gl/6PYaGF

Want to learn more from me? Check out my blog and courses: 

Courses: https://codewithmosh.com
Blog: https://programmingwithmosh.com 
Facebook: https://www.facebook.com/programmingwithmosh
Twitter: https://twitter.com/moshhamedani",348544,10500,0,912,mosh
What Is React Native & Why Is It So Popular?,2020-07-06T13:00:13Z,"What is React Native? This short video explains it in 5 minutes. 
🚀 React Native tutorial for beginners: https://youtu.be/0-S5a0eXPoc
👍 Subscribe for more React Native tutorials like this: https://goo.gl/6PYaGF

Want to learn more from me? Check out my blog and courses: 

Courses: https://codewithmosh.com
Blog: https://programmingwithmosh.com 
Facebook: https://www.facebook.com/programmingwithmosh
Twitter: https://twitter.com/moshhamedani

React Native is a framework for building cross-platform mobile apps for iOS and Android. A lot of companies prefer to use React Native these days as it cuts down the development and production time significantly. With React Native, you can build native apps for iOS and Android using a single code base written in JavaScript. So, if you know JavaScript and React, you can use React Native to build native mobile apps today. This video gives you a brief introduction to React Native and then compares React Native with Flutter and Xamarin.",148855,5343,0,230,mosh
Insertion Sort Algorithm Made Simple [Sorting Algorithms],2020-06-29T13:00:11Z,"Learn to implement the Insertion Sort algorithm and ace your coding interview.
👍Subscribe for more data structure and algorithm tutorials like this: https://goo.gl/6PYaGF
🚀Get the full data structures and algorithms course: https://bit.ly/2YfL3zr

CONNECT WITH ME

My Courses: http://codewithmosh.com
My Blog: http://programmingwithmosh.com
My Facebook: https://www.facebook.com/programmingwithmosh
My Twitter: https://twitter.com/moshhamedani

Data Structures and Algorithms is an essential topic taught to computer science and software engineering students to help them learn logical thinking and problem solving. That's why a lot of companies these days ask data structure and algorithm questions in their interviews. Sorting algorithms are particularly important. Even though you never have to implement a sorting algorithm in real life, studying and understanding these algorithms help you become better solving larger, more complex problems.",131662,3459,0,158,mosh
Bubble Sort in Plain English,2020-06-22T13:00:10Z,"Learn to implement the Bubble Sort algorithm and ace your coding interview.
👍Subscribe for more data structure and algorithm tutorials like this: https://goo.gl/6PYaGF
🚀Get the full data structures and algorithms course: https://bit.ly/2YfL3zr

CONNECT WITH ME

My Courses: http://codewithmosh.com
My Blog: http://programmingwithmosh.com
My Facebook: https://www.facebook.com/programmingwithmosh
My Twitter: https://twitter.com/moshhamedani

Data Structures and Algorithms is an essential topic taught to computer science and software engineering students to help them learn logical thinking and problem solving. That's why a lot of companies these days ask data structure and algorithm questions in their interviews. Sorting algorithms are particularly important. Even though you never have to implement a sorting algorithm in real life, studying and understanding these algorithms help you become better solving larger, more complex problems.",85350,2861,0,157,mosh
React Native Tutorial for Beginners - Build a React Native App [2020],2020-05-11T16:00:11Z,"React Native Tutorial for Beginners - Learn to build an amazing React Native app for iOS & Android.
🚀 Get the full React Native course: https://bit.ly/3f40a4l
👍 Subscribe for more React Native tutorials like this: https://goo.gl/6PYaGF

CONNECT WITH ME

My Courses: http://codewithmosh.com
My Blog: http://programmingwithmosh.com
My Facebook: https://www.facebook.com/programmingwithmosh
My Twitter: https://twitter.com/moshhamedani

LEARN REACT  

React Tutorial for Beginners: https://youtu.be/Ke90Tje7VS0
Mastering React Course: http://bit.ly/2KVl2A3

SUPPLEMENTARY MATERIALS 

Layout Exercises PDF: https://bit.ly/3dzbKDZ
Layout Exercises Supplementary Materials: https://bit.ly/3fvqZQ9

TABLE OF CONTENT 

0:00:00 Introduction
0:02:20 Prerequisites
0:02:58 What is React Native?
0:04:33 Expo
0:06:19 Setting up the development environment 
0:09:17 Your First React Native App
0:14:38 Running on an iOS simulator
0:18:02 Running on an Android emulator
0:26:48 Running on a physical device
0:27:54 Logging
0:29:16 Debugging with Chrome
0:34:27 Debugging in VSCode
0:41:39 Publishing
0:46:30 Fundamental Concepts
0:48:20 View
0:51:08 Text
0:53:50 Image
0:59:25 Touchables
1:04:21 Button
1:06:01 Alert
1:09:55 StyleSheet
1:14:49 Platform-specific code
1:18:06 Layouts
1:18:43 Dimensions
1:22:22 Detecting orientation changes
1:27:39 Flexbox
1:30:56 flexDirection
1:32:48 justifyContent, alignItems and alignSelf 
1:37:22 flexWrap and alignContent
1:40:22 flexBasis, flexGrow and flexShrink 
1:43:07 Absolute and Relative Positioning 
1:45:59 Exercises
1:46:58 Welcome Screen
1:57:55 View Image Screen
2:02:51 Refactoring

#reactjs #javascript #programming

React Native is a framework for building cross-platform mobile apps for iOS and Android. If you're a web developer familiar with React and JavaScript, React Native is the fastest and easiest way to transition to mobile development.",1680297,30849,0,1619,mosh
Redux Tutorial - Learn Redux from Scratch,2020-04-20T16:00:13Z,"Redux tutorial - Learn redux from scratch. 
🚀Get the full Redux course: https://codewithmosh.com/p/ultimate-redux
👍Subscribe for more tutorials like this: https://goo.gl/6PYaGF

Download the starter project:
https://bit.ly/2RWgf32

CONNECT WITH ME

My Courses: http://codewithmosh.com
My Blog: http://programmingwithmosh.com
My Facebook: https://www.facebook.com/programmingwithmosh
My Twitter: https://twitter.com/moshhamedani

You might also like: 

React Tutorial for Beginners: 
https://youtu.be/Ke90Tje7VS0

JavaScript Tutorial for Beginners: 
https://youtu.be/W6NZfCO5SIk

Angular Tutorial for Beginners: 
https://youtu.be/k5E2AVpwsko

TABLE OF CONTENT 

0:00:00 Introduction
0:01:02 What is Redux?
0:03:20 Pros and Cons of Redux
0:08:49 Is Redux for You?
0:11:18 Setting Up the Development Environment 
0:13:07 Course Structure
0:15:32 Function Programming 
0:15:59 What is Functional Programming? 
0:17:25 Functions as First-Class Citizens
0:20:33 Higher-order Functions
0:22:06 Functional Composition
0:25:45 Composing and Piping
0:28:08 Currying
0:34:17 Pure Functions
0:37:08 Immutability
0:41:22 Updating Objects
0:45:56 Updating Arrays
0:49:51 Enforcing Immutability
0:50:56 Immutable.js
0:54:36 Immer
0:57:30 Redux Intro
0:57:55 Redux Architecture
1:02:58 Your First Redux Application
1:04:43 Designing the Store
1:06:10 Defining the Actions
1:09:37 Creating a Reducer
1:15:50 Creating the Store
1:17:16 Dispatching Actions 
1:20:02 Subscribing to the Store 
1:22:10 Action Types
1:26:03 Action Creators
1:29:01 Exercise
1:29:18 Solution",647690,15989,0,839,mosh
Top Programming Languages in 2020,2020-01-13T17:00:11Z,"The top programming languages in 2020. If you're looking for a job in AI or web or mobile development, this video is for you.
👍Subscribe for more tutorials like this: https://goo.gl/6PYaGF

MY FULL COURSES

The Complete Python Programming Course: http://bit.ly/35BLHHP
The Ultimate Java Series: http://bit.ly/2tKoy8C
The Ultimate Full-stack JavaScript Developer: http://bit.ly/2Ncpc5F
JavaScript Basics for Beginners: http://bit.ly/2KZea52

MY YOUTUBE TUTORIALS

Python Tutorial for Beginners: https://youtu.be/_uQrJ0TkZlc
Java Tutorial for Beginners: https://youtu.be/eIrMbAQSU34
JavaScript Tutorial for Beginners: https://youtu.be/W6NZfCO5SIk

CONNECT WITH ME

Blog: http://programmingwithmosh.com
Facebook: https://www.facebook.com/programmingwithmosh/
Twitter: https://twitter.com/moshhamedani",1006051,25651,0,1614,mosh
Design Patterns in Plain English | Mosh Hamedani,2020-01-06T17:00:07Z,"Design Patterns tutorial explained in simple words using real-world examples. 
🔥Get the full design patterns course: https://bit.ly/2SZxfGM
👍Subscribe for more tutorials like this: https://goo.gl/6PYaGF

Java Tutorial for Beginners: https://youtu.be/eIrMbAQSU34

TABLE OF CONTENT
0:00:00 Introduction
0:01:40 What are Design Patterns? 
0:04:15 How to Take This Course 
0:05:50 The Essentials
0:06:53 Getting Started with Java 
0:09:23 Classes
0:13:34 Coupling
0:15:34 Interfaces
0:21:17 Encapsulation
0:26:25 Abstraction
0:30:33 Inheritance
0:32:55 Polymorphism
0:36:42 UML
0:40:52 Memento Pattern
0:42:43 Solution
0:48:31 Implementation
0:54:22 State Pattern
0:59:46 Solution
1:02:59 Implementation
1:09:31 Abusing the Design Patterns 
1:11:18 Abusing the State Pattern 

CONNECT WITH ME

My Courses: http://codewithmosh.com
My Blog: http://programmingwithmosh.com
My Facebook: https://www.facebook.com/programmingwithmosh/
My Twitter: https://twitter.com/moshhamedani",809739,18287,0,555,mosh
Why I Left My Job as a Senior Software Engineer,2020-01-02T18:11:30Z,"Here's my story in 2 minutes. Watch this video to see why I quit my job as a senior software engineer.
👍Subscribe for more videos: https://goo.gl/6PYaGF
🚀My courses: http://codewithmosh.com 

CONNECT WITH ME

Courses: http://codewithmosh.com
Blog: http://programmingwithmosh.com
Facebook: https://www.facebook.com/programmingwithmosh/
Twitter: https://twitter.com/moshhamedani",384578,21406,0,1642,mosh
Jingle Bells Piano (Jazz) | Christmas Music,2019-12-25T20:22:29Z,"Enjoy this Jazzy version of Jingle Bells. 
Arranged by: Jacob Koller",24888,1132,0,79,mosh
Mosh's Christmas Present to You (2019),2019-12-16T04:48:49Z,🔥FINAL HOURS - Access my 26 courses + all the courses coming out next year for $99. The price will go up to $199 tomorrow. Subscribe now: http://bit.ly/2RXrHfs,143897,2862,0,212,mosh
Data Structures and Algorithms for Beginners,2019-12-10T17:00:02Z,"Data Structures and algorithms for beginners. Ace your coding interview. Watch this tutorial to learn all about Big O, arrays and linked lists!
👍 Subscribe for more Data Structure tutorials like this: https://goo.gl/6PYaGF
💥 Get the full course: https://bit.ly/2OwNTxx

Java Tutorial for Beginners: 
https://youtu.be/eIrMbAQSU34

TABLE OF CONTENT

0:00:00 Intro
0:01:04 What is Big O?
0:03:03 O(1)
0:04:32 O(n)
0:08:17 O(n^2)
0:10:41 O(log n)
0:13:20 O(2^n)
0:14:10 Space Complexity
0:17:53 Understanding Arrays
0:21:03 Working with Arrays
0:24:32 Exercise: Building an Array 
0:27:24 Solution: Creating the Array Class 
0:30:43 Solution: insert()
0:35:03 Solution: remove()
0:39:54 Solution: indexOf()
0:42:23 Dynamic Arrays
0:46:11 Linked Lists Introduction
0:46:41 What are Linked Lists?
0:51:16 Working with Linked Lists 
0:54:40 Exercise: Building a Linked List 
0:56:05 Solution: addLast()
1:02:15 Solution: addFirst()
1:04:28 Solution: indexOf()
1:06:23 Solution: contains()
1:07:28 Solution: removeFirst()
1:11:52 Solution: removeLast()

#Programming #ComputerScience

CONNECT WITH ME

My Courses: http://codewithmosh.com
My Blog: http://programmingwithmosh.com
My Facebook: https://www.facebook.com/programmingwithmosh/
My Twitter: https://twitter.com/moshhamedani

Data structures and algorithms are one of the topics taught to computer science and software engineering students. It often comes up in coding interviews especially in big companies like Microsoft, Amazon, Google and Amazon. If you're pursuing a career in software engineering, the knowledge of data structures and algorithms is a must. While you may not use these algorithms in your day-to-day job, studying these algorithms improve your problem solving and programming skills.",792493,19235,0,565,mosh
New Course: Data Structures & Algorithms [Part 2],2019-09-07T19:46:52Z,"Get the course with a discount: 
Part 1: http://bit.ly/31PqOY1
Part 2: http://bit.ly/2k0LlIS",34960,816,0,120,mosh
New Course: Data Structures and Algorithms Course,2019-08-20T18:04:34Z,"Get the course with a discount: 
Part 1: http://bit.ly/31PqOY1
Part 2: http://bit.ly/2k0LlIS",76264,2551,0,274,mosh
Java Tutorial for Beginners [2020],2019-07-15T16:00:12Z,"Java tutorial for beginners - Learn Java, the language behind millions of apps and websites. 
🔥 Want to master Java? Get my complete Java mastery bundle: http://bit.ly/2tKoy8C
👍 Subscribe for more Java tutorials like this: https://goo.gl/6PYaGF

📕 Get my FREE #Java cheat sheet: http://bit.ly/2JNlQnw

⭐️ Want to learn more from me? Check out these links:

Courses: https://codewithmosh.com
Twitter: https://twitter.com/moshhamedani
Facebook: https://www.facebook.com/programmingwithmosh/
Blog: http://programmingwithmosh.com 

TABLE OF CONTENTS 

0:00:00 Introduction 
0:01:46 Installing Java
0:03:59 Anatomy of a Java Program 
0:08:41 Your First Java Program 
0:15:59 Cheat Sheet 
0:16:29 How Java Code Gets Executed 
0:22:54 Course Structure
0:25:22 Types
0:25:57 Variables
0:29:07 Primitive Types
0:34:27 Reference Types
0:39:15 Primitive Types vs Reference Types 
0:43:39 Strings
0:50:42 Escape Sequences 
0:53:22 Arrays
0:58:47 Multi-Dimensional Arrays 
1:01:23 Constants
1:03:15 Arithmetic Expressions 
1:07:18 Order of Operations 
1:08:40 Casting
1:15:08 The Math Class 
1:19:50 Formatting Numbers 
1:25:40 Reading Input
1:30:45 Project: Mortgage Calculator 
1:32:55 Solution: Mortgage Calculator 
1:37:14 Types Summary
1:38:43 Control Flow 
1:39:30 Comparison Operators 
1:41:16 Logical Operators
1:45:52 If Statements
1:50:18 Simplifying If Statements 
1:53:47 The Ternary Operator
1:56:16 Switch Statements
2:00:07 Exercise: FizzBuzz
2:06:05 For Loops
2:09:53 While Loops
2:14:19 Do...While Loops
2:15:36 Break and Continue
2:18:52 For-Each Loop
2:21:59 Project: Mortgage Calculator 
2:23:27 Solution: Mortgage Calculator 
2:28:28 Control Flow Summary 
2:29:25 Clean Coding

#Programming",6187201,165867,0,6801,mosh
React vs Angular vs Vue: What to Choose for Your Next Project,2019-05-09T21:08:25Z,"React vs Angular vs Vue:  What is the best JavaScript framework in 2019? This video answers your questions. 
🔥Get my Complete React Course with a big discount (limited to the first 200 students): 
https://programmingwithmosh.com/courses/react

Here are my other YouTube tutorials: 
Learn React: https://youtu.be/Ke90Tje7VS0
JavaScript for React Developers: https://youtu.be/NCwa_xi0Uuc
JavaScript for Beginners: https://youtu.be/W6NZfCO5SIk
Learn Angular: https://youtu.be/k5E2AVpwsko

👍Subscribe for more videos like this: https://goo.gl/6PYaGF

These days we have plenty of JavaScript frameworks and libraries for front end development. React, Angular and Vue are the top three that are used in most organizations around the world. If you're wondering whether you should learn #React, #Angular or #Vue for web development in 2019, this video can help. We'll look at each of these frameworks, their history, learning curve, stability, and ecosystem, and then I'll tell you what JavaScript framework or library to use for your next project. 

Stay in Touch:
https://www.facebook.com/programmingwithmosh/
https://twitter.com/moshhamedani
http://programmingwithmosh.com",130736,3888,0,319,mosh
React vs Angular vs Vue: What to Learn to Get a Front-end Job,2019-04-17T16:00:06Z,"What is the best JavaScript framework/library that everybody is learning these days? React, Angular or Vue? Watch this video to find out. 
Here are my other YouTube tutorials: 
Learn React: https://youtu.be/Ke90Tje7VS0
JavaScript for React Developers: https://youtu.be/NCwa_xi0Uuc
JavaScript for Beginners: https://youtu.be/W6NZfCO5SIk
Learn Angular: https://youtu.be/k5E2AVpwsko

🔥Get my Complete React Course with a big discount (limited to the first 200 students): 
https://programmingwithmosh.com/courses/react

👍Subscribe for more videos like this: https://goo.gl/6PYaGF

These days we have plenty of JavaScript frameworks and libraries for front end development. React, Angular and Vue are the top three that are used in most organizations around the world. If you're wondering whether you should learn #React, #Angular or #Vue for web development in 2019, this video can help. We'll look at each of these frameworks, their history, learning curve, and job market and then I'll tell you what framework to learn if you're looking for a front-end development job in 2019. 

Stay in Touch:
https://www.facebook.com/programmingwithmosh/
https://twitter.com/moshhamedani
http://programmingwithmosh.com",215744,5639,0,334,mosh
